Group,Team,Wins,Probability
A,Mexico,2030,40.6
A,South Korea,1433,28.66
A,Czech Republic,1266,25.32
A,South Africa,271,5.42
B,Qatar,616,12.32
B,Canada,1957,39.14
B,Bosnia and Herzegovina,561,11.22
B,Switzerland,1866,37.32
C,Scotland,1039,20.78
C,Brazil,2387,47.74
C,Haiti,440,8.8
C,Morocco,1134,22.68
D,United States,1681,33.62
D,Turkey,1528,30.56
D,Paraguay,725,14.5
D,Australia,1066,21.32
E,Ivory Coast,1191,23.82
E,Germany,2620,52.4
E,Curaçao,143,2.86
E,Ecuador,1046,20.92
F,Sweden,936,18.72
F,Netherlands,2398,47.96
F,Japan,1091,21.82
F,Tunisia,575,11.5
G,Belgium,2076,41.52
G,Iran,1842,36.84
G,Egypt,714,14.28
G,New Zealand,368,7.36
H,Uruguay,1279,25.58
H,Spain,2647,52.94
H,Saudi Arabia,830,16.6
H,Cape Verde,244,4.88
I,Senegal,914,18.28
I,France,2943,58.86
I,Iraq,307,6.14
I,Norway,836,16.72
J,Argentina,3002,60.04
J,Jordan,327,6.54
J,Algeria,718,14.36
J,Austria,953,19.06
K,Colombia,1589,31.78
K,Uzbekistan,702,14.04
K,Democratic Republic of the Congo,228,4.56
K,Portugal,2481,49.62
L,England,2521,50.42
L,Croatia,1374,27.48
L,Panama,653,13.06
L,Ghana,452,9.04
