home_elo,away_elo,elo_diff,home_avg_overall,home_max_overall,home_avg_attack,home_avg_defense,home_avg_pace,home_avg_shooting,home_avg_passing,away_avg_overall,away_max_overall,away_avg_attack,away_avg_defense,away_avg_pace,away_avg_shooting,away_avg_passing,overall_diff,attack_diff,defense_diff,home_form_scored,home_form_conceded,home_form_win_rate,away_form_scored,away_form_conceded,away_form_win_rate,is_neutral,is_world_cup,is_continental,home_goals,away_goals,_home_team,_away_team,_date,_tournament,home_trophy_bonus,away_trophy_bonus
1674.859941,1468.981161,205.8787796,63.0,70,59.0,63.33333333,67.77777778,52.0,52.88888889,66.0,71,66.0,66.0,60.0,38.5,53.5,-3.0,-7.0,-2.666666667,0.6,1.2,0.2,1.8,1.2,0.6,0,0,0,1,0,Iraq,Kuwait,30-12-2022,Friendly,0.0,0.0
1682.352115,1657.426556,24.92555874,63.38461538,69,63.5,66.0,66.53846154,53.23076923,55.0,72.0,72,72.0,72.0,72.92857143,62.57142857,66.42857143,-8.615384615,-8.5,-6.0,0.6,1.0,0.4,1.0,0.6,0.6,0,0,0,0,0,Iraq,Oman,06-01-2023,Gulf Cup,0.0,0.0
1713.034546,1461.488987,251.5455581,69.07142857,76,71.25,68.2,70.92307692,55.84615385,62.61538462,66.0,71,66.0,66.0,60.0,38.5,53.5,3.071428571,5.25,2.2,0.8,1.6,0.4,1.4,1.4,0.4,1,0,0,2,0,Qatar,Kuwait,07-01-2023,Gulf Cup,0.3,0.0
1796.076055,1670.226023,125.8500315,77.07142857,81,77.625,76.0,72.30769231,66.46153846,72.23076923,72.5,81,72.0,72.71428571,66.33333333,64.41666667,65.91666667,4.571428571,5.625,3.285714286,1.6,1.8,0.4,1.4,1.2,0.2,1,0,0,2,0,Sweden,Finland,09-01-2023,Friendly,0.0,0.0
1681.206215,1712.645098,-31.4388828,63.38461538,69,63.5,66.0,66.53846154,53.23076923,55.0,71.92857143,77,71.5,71.9,75.92307692,54.84615385,62.30769231,-8.543956044,-8.0,-5.9,0.4,0.8,0.4,1.0,1.2,0.4,0,0,0,2,0,Iraq,Saudi Arabia,09-01-2023,Gulf Cup,0.0,0.0
1636.666317,1719.124389,-82.45807247,72.0,72,72.0,72.0,74.0,68.0,52.0,69.07142857,76,71.25,68.2,70.92307692,55.84615385,62.61538462,2.928571429,0.75,3.8,1.2,2.4,0.2,0.8,1.4,0.4,1,0,0,2,1,Bahrain,Qatar,10-01-2023,Gulf Cup,0.0,0.3
1662.016916,1695.201223,-33.18430703,72.0,72,72.0,72.0,72.92857143,62.57142857,66.42857143,71.92857143,77,71.5,71.9,75.92307692,54.84615385,62.30769231,0.071428571,0.5,0.1,1.6,0.6,0.8,1.0,1.4,0.4,1,0,0,2,1,Oman,Saudi Arabia,12-01-2023,Gulf Cup,0.0,0.0
1806.52129,1595.502629,211.0186607,77.07142857,81,77.625,76.0,72.30769231,66.46153846,72.23076923,71.92857143,76,71.55555556,72.6,70.30769231,63.76923077,66.38461538,5.142857143,6.069444444,3.4,1.6,1.2,0.6,0.4,0.8,0.0,1,0,0,2,1,Sweden,Iceland,12-01-2023,Friendly,0.0,0.0
1699.396782,1579.044557,120.352225,69.07142857,76,71.25,68.2,70.92307692,55.84615385,62.61538462,64.0,72,61.0,64.58333333,67.63636364,43.09090909,54.09090909,5.071428571,10.25,3.616666667,0.8,1.8,0.2,0.8,1.8,0.4,1,0,0,1,1,Qatar,United Arab Emirates,13-01-2023,Gulf Cup,0.3,0.0
1701.396729,1694.065895,7.330833564,63.38461538,69,63.5,66.0,66.53846154,53.23076923,55.0,69.07142857,76,71.25,68.2,70.92307692,55.84615385,62.61538462,-5.686813187,-7.75,-2.2,1.6,0.0,0.6,1.0,1.6,0.2,0,0,0,2,1,Iraq,Qatar,16-01-2023,Gulf Cup,0.0,0.3
