Nation,Player,player_positions,Final_Overall,pace,shooting,passing,dribbling,defending,physic
Algeria,Riyad Mahrez,"RM, RW",84,78,80,81,88,39,63
Algeria,Mohamed Amine Amoura,"LW, ST",80,82,74,64,76,28,68
Algeria,Amine Gouiri,"ST, LW",79,76,76,70,78,32,68
Algeria,Ramy Bensebaini,"LB, CB, LM",79,73,70,70,77,78,79
Algeria,Houssem Aouar,"CAM, CM",77,66,72,75,82,65,65
Algeria,Nabil Bentaleb,"CDM, CM",77,50,72,77,79,71,73
Algeria,Hicham Boudaoui,"CM, CDM",77,73,67,74,77,74,76
Algeria,Rayan Ait-Nouri,"LB,LM",76,80,60,71,75,68,72
Algeria,Anis Hadj Moussa,"RW, RM",76,80,69,67,84,30,52
Algeria,Aissa Mandi,"CB, RB",75,57,46,71,67,75,73
Algeria,Fares Chaibi,"CAM, LW, CDM, CM",74,69,68,75,76,68,69
Algeria,Ramiz Zerrouki,"CDM, CM",73,72,56,68,66,72,74
Algeria,Fares Ghedjemis,"LW,CAM",72,78,66,67,72,35,62
Algeria,Achref Abada,"RB,CB",72,75,50,65,67,72,75
Algeria,Melvin Masstil,GK,72,47,11,44,44,14,67
Algeria,Ibrahim Maza,"CAM, CM",71,75,66,66,79,40,62
Algeria,Nadhir Benbouali,"LW,RW",71,78,64,66,72,34,62
Algeria,Zinedine Belaid,"CB,CDM",70,66,42,58,56,71,73
Algeria,Oussama Benbot,"LW,CAM",70,76,62,65,70,32,60
Algeria,Mohamed-Amine Tougai,CB,69,68,40,58,55,70,74
Algeria,Adil Boulbina,"CDM,CM",69,65,45,64,60,68,70
Algeria,Jaouen Hadjam,"LB, LM",69,79,54,59,69,65,72
Algeria,Samir Chergui,"CM,CDM",68,64,46,63,60,67,69
Algeria,Yassine Titraoui,"LW, CAM",68,76,66,64,74,30,62
Algeria,Rafik Belghali,"RB, CB, RM",66,81,60,61,66,61,62
Algeria,Luca Zidane,GK,65,44,10,40,40,12,62
Argentina,Lautaro Javier Martínez,ST,88,81,88,75,84,51,83
Argentina,Julián Álvarez,ST,87,85,87,81,87,57,79
Argentina,Alexis Mac Allister,"CM, CDM",87,66,82,85,85,78,76
Argentina,Lionel Andrés Messi Cuccittini,"RW, CAM",86,72,92,92,96,34,66
Argentina,Emiliano Martínez,GK,85,56,13,50,52,13,76
Argentina,Rodrigo De Paul,"CM, CDM",84,78,70,78,78,70,78
Argentina,Enzo Fernández,"CM, CDM",84,76,66,80,80,72,76
Argentina,Exequiel Palacios,"CM, CDM",84,72,60,70,70,68,72
Argentina,Gerónimo Rulli,GK,82,54,12,48,50,12,72
Argentina,Giovani Lo Celso,"CAM, CM, CDM",82,68,81,82,84,68,71
Argentina,Nicolás Otamendi,CB,82,62,40,58,58,84,82
Argentina,Cristian Gabriel Romero,CB,82,66,48,62,65,83,81
Argentina,Leonardo Balerdi,CB,81,72,38,54,56,78,76
Argentina,Nicolás González,"LW, RW",81,82,79,75,81,53,78
Argentina,Lisandro Martínez,CB,81,67,59,75,75,81,80
Argentina,Giuliano Simeone,"RW, LW",81,84,70,64,78,30,68
Argentina,Thiago Almada,"CAM, CM",79,76,66,72,78,44,66
Argentina,Nahuel Molina,"RB, RM",79,82,60,68,72,72,72
Argentina,Juan Musso,GK,79,54,12,48,50,12,74
Argentina,Facundo Medina,CB,79,70,38,54,56,78,78
Argentina,Nicolás Tagliafico,LB,78,74,52,68,70,74,70
Argentina,Leandro Paredes,"CDM, CM",78,60,56,78,72,70,72
Argentina,Gonzalo Montiel,"RB, CB",78,74,52,64,66,72,72
Argentina,Nicolás Paz,"CM, CAM",77,73,71,78,81,58,68
Argentina,Valentín Barco,"LB, LM, CM",75,76,50,75,78,68,61
Argentina,Ezequiel Fernández,CB,74,70,42,58,60,75,76
Australia,Mathew Ryan,GK,78,52,11,48,50,11,70
Australia,Jackson Irvine,"CM, CDM",75,72,60,70,68,68,76
Australia,Cameron Burgess,CB,73,64,36,50,52,74,76
Australia,Harry Souttar,CB,73,62,38,52,52,76,82
Australia,Alessandro Circati,CB,71,59,35,53,49,72,77
Australia,Cameron Devlin,"CM, CDM",71,68,54,66,66,66,70
Australia,Mathew Leckie,"RW, LW",70,82,66,64,74,32,72
Australia,Denis Genreau,"CM,CDM",70,68,52,66,62,64,70
Australia,Aiden O'Neill,"CDM, CM",70,70,52,66,66,70,74
Australia,Paul Izzo,GK,70,48,10,40,42,10,68
Australia,Chris Ikonomidis,"LW,RW",69,77,62,64,68,32,60
Australia,Jordan Bos,LB,69,74,46,60,64,68,68
Australia,Connor Metcalfe,"CM, CDM",69,68,54,66,66,64,70
Australia,Kai Trewin,ST,69,72,70,56,64,28,74
Australia,Nathaniel Atkinson,"RB,RM",68,76,48,62,64,65,68
Australia,Mohamed Toure,"ST, CAM",68,86,65,57,67,33,72
Australia,Nestory Irankunda,"RM, ST, LM, RW",67,88,70,62,70,43,74
Australia,Aziz Behich,LB,67,74,46,60,64,68,68
Australia,Ajdin Hrustic,"CM, CDM",67,50,67,69,70,56,66
Australia,Awer Mabil,"LW, RW",67,84,70,64,78,28,66
Australia,Nishan Velupillay,"RW, LW",65,82,66,60,74,28,64
Australia,Patrick Beach,CB,65,64,36,48,50,70,72
Australia,Jacob Italiano,"CB, LB",64,64,36,50,52,72,72
Australia,Tete Yengi,ST,59,69,57,48,55,37,78
Australia,Lucas Herrington,CB,59,65,32,42,45,57,66
Australia,Paul Okon-Engstler,"CDM, CM",52,64,38,47,52,47,56
Austria,Konrad Laimer,"RB, CDM, CM, RM",82,82,69,76,75,81,76
Austria,David Alaba,"CB, LB",82,70,56,76,76,82,74
Austria,Marcel Sabitzer,"CDM, CM",80,74,80,80,80,76,76
Austria,Xaver Schlager,"CDM, CM",80,69,70,74,78,75,78
Austria,Kevin Danso,CB,79,73,32,57,62,78,83
Austria,Stefan Posch,"RB, RM",79,75,55,68,66,80,74
Austria,Philipp Lienhart,CB,79,67,28,59,64,81,78
Austria,Romano Schmid,"CAM, LW",78,76,66,70,74,44,66
Austria,Patrick Wimmer,"CAM, RW, LM, ST",77,84,69,72,81,49,73
Austria,Marco Friedl,CB,77,75,44,64,69,79,77
Austria,Carney Chukwuemeka,"CM,CAM",77,79,68,74,78,52,72
Austria,Nicolas Seiwald,"CDM, CM, CB",77,72,62,74,74,74,76
Austria,Christoph Baumgartner,"CAM, ST, CM",77,74,72,72,79,47,63
Austria,Marko Arnautović,ST,76,72,74,60,70,32,75
Austria,Phillipp Mwene,"LB, LM",76,78,55,69,75,70,70
Austria,David Affengruber,"CB, LB",75,66,36,52,54,72,72
Austria,Florian Grillitsch,"CM, CB, CDM",75,63,59,74,74,72,66
Austria,Michael Gregoritsch,ST,75,37,77,68,68,42,76
Austria,Sasa Kalajdzic,ST,74,50,72,67,68,45,64
Austria,Alexander Prass,"LB, LM, CM, LW",74,74,65,74,75,69,74
Austria,Alexander Schlager,GK,73,50,11,42,44,11,72
Austria,Patrick Pentz,GK,72,50,11,42,44,11,70
Austria,Paul Wanner,"CM,CAM",72,72,62,70,74,44,64
Austria,Alessandro Schöpf,"CM, LW",68,70,62,68,70,50,68
Austria,Michael Svoboda,CB,68,59,44,52,56,67,80
Austria,Florian Wiegele,GK,67,68,52,62,62,66,68
Belgium,Thibaut Courtois,GK,89,56,14,52,54,14,78
Belgium,Kevin De Bruyne,"CM, CAM",87,66,83,92,84,65,72
Belgium,Youri Tielemans,"CM, CDM, CAM",85,54,79,85,80,75,72
Belgium,Romelu Lukaku,ST,84,76,87,72,74,30,88
Belgium,Leandro Trossard,"LW, ST, LM",83,80,81,80,85,30,60
Belgium,Charles De Ketelaere,"CAM, ST, CM",82,70,79,80,83,56,68
Belgium,Dodi Lukebakio,"RW, LW",82,84,76,68,78,30,70
Belgium,Hans Vanaken,"CAM, CM",80,45,79,84,77,60,78
Belgium,Jeremy Doku,"LW, RW, LM",80,91,71,72,87,32,68
Belgium,Maxim De Cuyper,"LB, RB, LM",80,76,73,80,79,75,75
Belgium,Arthur Theate,"CB, LB",80,76,42,58,62,80,78
