Nation,Player,player_positions,Final_Overall,pace,shooting,passing,dribbling,defending,physic,Attack_Score,Midfield_Score,Defense_Score,Technical_Score,Athletic_Score,Overall_Percentile,Elite_Player,World_Class,Position_Group,Is_GK,Is_DEF,Is_MID,Is_ATT,Star_Player,Key_Player,Squad_Rank,Defender_Rating,Midfielder_Rating,Attacker_Rating,Importance_Score
Algeria,Riyad Mahrez,"RM, RW",84,78,80,81,88,39,63,81.8,77.69999999999999,48.6,84.5,70.5,0.9314903846153846,0,0,MID,0,0,1,0,0,0,1.0,52.2,77.69999999999999,81.8,2184.0
Algeria,Mohamed Amine Amoura,"LW, ST",80,82,74,64,76,28,68,77.0,68.80000000000001,44.0,70.0,75.0,0.8221153846153846,0,0,ATT,0,0,0,1,0,0,2.0,43.2,68.80000000000001,77.0,2000.0
Algeria,Amine Gouiri,"ST, LW",79,76,76,70,78,32,68,76.6,71.8,46.400000000000006,74.0,72.0,0.7772435897435898,0,0,ATT,0,0,0,1,0,0,3.0,46.8,71.8,76.6,1896.0
Algeria,Ramy Bensebaini,"LB, CB, LM",79,73,70,70,77,78,79,73.0,74.8,78.4,73.5,76.0,0.7772435897435898,0,0,DEF,0,1,0,0,0,0,4.0,76.6,74.8,73.0,1817.0
Algeria,Houssem Aouar,"CAM, CM",77,66,72,75,82,65,65,73.2,74.1,65.0,78.5,65.5,0.6790865384615384,0,0,MID,0,0,1,0,0,0,5.0,67.0,74.1,73.2,1694.0
Algeria,Nabil Bentaleb,"CDM, CM",77,50,72,77,79,71,73,67.5,76.4,71.80000000000001,78.0,61.5,0.6790865384615384,0,0,MID,0,0,1,0,0,0,6.0,72.60000000000001,76.4,67.5,1617.0
Algeria,Hicham Boudaoui,"CM, CDM",77,73,67,74,77,74,76,71.8,75.5,74.8,75.5,74.5,0.6790865384615384,0,0,MID,0,0,1,0,0,0,7.0,74.4,75.5,71.8,1540.0
Algeria,Rayan Ait-Nouri,"LB,LM",76,80,60,71,75,68,72,70.5,72.5,69.6,73.0,76.0,0.624198717948718,0,0,DEF,0,1,0,0,0,0,8.0,69.39999999999999,72.5,70.5,1444.0
Algeria,Anis Hadj Moussa,"RW, RM",76,80,69,67,84,30,52,76.8,67.6,38.8,75.5,66.0,0.624198717948718,0,0,MID,0,0,1,0,0,0,9.0,41.8,67.6,76.8,1368.0
Algeria,Aissa Mandi,"CB, RB",75,57,46,71,67,75,73,55.599999999999994,70.4,74.2,69.0,65.0,0.5765224358974359,0,0,DEF,0,1,0,0,0,0,10.0,73.8,70.4,55.599999999999994,1275.0
Algeria,Fares Chaibi,"CAM, LW, CDM, CM",74,69,68,75,76,68,69,70.7,73.5,68.4,75.5,69.0,0.5224358974358975,0,0,MID,0,0,1,0,0,0,11.0,69.6,73.5,70.7,1184.0
Algeria,Ramiz Zerrouki,"CDM, CM",73,72,56,68,66,72,74,63.8,69.2,72.8,67.0,73.0,0.469150641025641,0,0,MID,0,0,1,0,0,0,12.0,71.6,69.2,63.8,1095.0
Algeria,Fares Ghedjemis,"LW,CAM",72,78,66,67,72,35,62,71.4,67.0,45.8,69.5,70.0,0.40905448717948717,0,0,MID,0,0,1,0,0,0,13.0,46.8,67.0,71.39999999999999,1008.0
Algeria,Achref Abada,"RB,CB",72,75,50,65,67,72,75,62.599999999999994,68.6,73.19999999999999,66.0,75.0,0.40905448717948717,0,0,DEF,0,1,0,0,0,0,14.0,71.19999999999999,68.6,62.599999999999994,936.0
Algeria,Melvin Masstil,GK,72,47,11,44,44,14,67,31.700000000000003,50.9,35.2,44.0,57.0,0.40905448717948717,0,0,GK,1,0,0,0,0,0,15.0,30.6,50.9,31.7,864.0
Algeria,Ibrahim Maza,"CAM, CM",71,75,66,66,79,40,62,72.6,68.7,48.8,72.5,68.5,0.3449519230769231,0,0,MID,0,0,1,0,0,0,16.0,49.6,68.7,72.60000000000001,781.0
Algeria,Nadhir Benbouali,"LW,RW",71,78,64,66,72,34,62,70.6,66.6,45.2,69.0,70.0,0.3449519230769231,0,0,ATT,0,0,0,1,0,0,17.0,46.0,66.6,70.6,710.0
Algeria,Zinedine Belaid,"CB,CDM",70,66,42,58,56,71,73,53.400000000000006,61.9,71.80000000000001,57.0,69.5,0.28205128205128205,0,0,DEF,0,1,0,0,0,0,18.0,68.80000000000001,61.9,53.400000000000006,630.0
